name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_currency
Data Scientist;Kontomatik Sp. z o.o.;python;data analyst;Warszawa;POL;8 000;12 000;PLN
Data Analyst;Ringier Axel Springer Tech;;data analyst;Zdalna;N/A;9 000;13 000;PLN
Senior Data Mining Analyst;McKinsey & Company;;data analyst;Wrocław;POL;9 000;14 000;PLN
Data Analyst;Devire;;data analyst;Zdalna;N/A;8 000;16 000;PLN
Data Analyst;Globitell Wholesale Sp. z o.o. Sp. K.;;data analyst;Warszawa;POL;6 000;9 000;PLN
Data Business Analyst (Data Science);Lingaro;;data analyst;Zdalna;N/A;11 760;20 160;PLN
Senior Data Analyst, Marketing;Brainly;;data analyst;Zdalna;N/A;8 000;16 000;PLN
Senior Product Data Analyst;No Fluff Jobs;;data analyst;Zdalna;N/A;12 000;18 000;PLN
Data Analyst;Smartpatient;;data analyst;Zdalna;N/A;11 000;17 500;PLN
Senior .NET Engineer;AVENGA;.net;data analyst;Warsaw;POL;25 200;26 880;PLN
Tester / Data Analyst;DPDgroup IT Solutions sp. z o.o.;;data analyst;Warszawa;POL;5 500;11 000;PLN
Senior JavaScript Developer;Sigma IT Polska;javascript;data analyst;Zdalna;N/A;17 000;19 500;PLN
Data Analyst PowerBI/Tableau;QBICO Sp. z o.o.;;data analyst;Zdalna;N/A;7 000;11 000;PLN
Data Team Leader;Datafeedwatch;;data analyst;Kraków;POL;12 000;17 000;PLN
Product Data Analyst;Packhelp;;data analyst;Warszawa;POL;11 000;14 000;PLN
Data Analyst;mthree;python;data analyst;Zdalna;N/A;5 416;8 333;PLN
Data Analyst;Infinite Lambda Kft.;;data analyst;Zdalna;N/A;11 430;17 146;PLN
Data Engineer;Insight (Division of nexergroup.com);;data engineer;Zdalna;N/A;16 000;26 200;PLN
Digital Data Engineer;Link Group;SQL;data engineer;Zdalna;N/A;20 000;29 000;PLN
Data Engineer;Ework Group;python;data engineer;Zdalna;N/A;34 944;38 976;PLN
DWH/Big Data Engineer;Sii Polska;;data engineer;Warszawa;"POL
 + 13";21 000;26 250;PLN
Senior Software Engineer | Big Data;Adform Sp. z o.o.;scala;data engineer;Zdalna;N/A;20 000;24 000;PLN
Software Engineer (Scala) | Big Data;Adform Sp. z o.o.;scala;data engineer;Zdalna;N/A;18 000;21 000;PLN
Data Engineer;Altimetrik;;data engineer;Zdalna;N/A;19 000;24 000;PLN
Senior Scala Big Data Engineer;VirtusLab;scala;data engineer;Zdalna;N/A;18 000;25 000;PLN
Data Engineer (Blockchain Analytics);Ramp Network;BigQuery;data engineer;Warszawa;"POL
 + 2";18 000;24 000;PLN
BI / Data Engineer;Link Group;;data engineer;Zdalna;N/A;18 000;21 000;PLN
BI Developer/Data Engineer;Objectivity;;data engineer;Zdalna;N/A;17 600;22 600;PLN
Data Engineer;Link Group;;data engineer;Warszawa;"POL
 + 2";15 120;18 480;PLN
Data Engineer;dyvenia;python;data engineer;Kraków;POL;14 000;20 000;PLN
Data Engineer;Unit8 SA;;data engineer;Wrocław;POL;16 000;24 000;PLN
Senior Cloud Data Engineer;IHS Markit;SQL;data engineer;Zdalna;N/A;13 000;18 000;PLN
